# Time-averaged data for fix avg_vals
# TimeStep v_zStrainc v_engsszc v_p3 v_engssyc v_p2 v_engssxc v_p1
149000 0.0342497 6.06249 6.17862 0.00220466 0.00213393 0.000933775 0.000891738
150000 0.0347497 6.13868 6.25777 0.000993406 0.000963563 -0.00406184 -0.00397137
151000 0.0352497 6.23282 6.35552 -0.00254224 -0.00247961 -0.00149176 -0.00145478
152000 0.0357497 6.31684 6.44284 0.00129234 0.00125561 -0.00259629 -0.00253316
153000 0.0362497 6.4081 6.53748 -0.00349623 -0.0034203 0.000781348 0.000753387
154000 0.0367497 6.496 6.62904 0.00444387 0.00432266 -0.000311457 -0.000312346
155000 0.0372497 6.57912 6.71543 -0.00426542 -0.00416214 0.003266 0.00317031
156000 0.0377497 6.66555 6.8047 0.00690517 0.00671692 0.000485846 0.000464009
157000 0.0382497 6.75003 6.89313 -0.00556614 -0.00541878 0.00387996 0.00377347
158000 0.0387497 6.82879 6.97478 0.000426402 0.000409693 -0.000375672 -0.000367159
159000 0.0392497 6.92056 7.07021 0.000475496 0.000440661 0.00951121 0.00922596
160000 0.0397497 7.00209 7.15569 0.000704517 0.000650104 -0.00683911 -0.00668574
161000 0.0402497 7.09011 7.24734 0.000200726 0.000186812 -0.00192436 -0.00187997
162000 0.0407497 7.1715 7.33236 -0.00499069 -0.00485211 8.78715e-05 8.35941e-05
163000 0.0412497 7.25527 7.41942 0.00106436 0.00102929 -0.00299544 -0.00291578
164000 0.0417497 7.34123 7.50904 0.00091004 0.000875019 -0.00291382 -0.00284037
165000 0.0422497 7.42722 7.59941 0.00305291 0.00295745 -0.00213798 -0.00207729
166000 0.0427497 7.51509 7.69092 0.00564343 0.0054726 0.00201593 0.00195165
167000 0.0432497 7.59282 7.77207 -0.00109006 -0.00106366 -0.000979645 -0.000952198
168000 0.0437497 7.68055 7.86392 -0.00318271 -0.0030704 0.00642665 0.00624011
169000 0.0442497 7.76267 7.9494 -0.00189197 -0.00182813 -0.00119319 -0.00114685
170000 0.0447497 7.84938 8.04078 0.00212451 0.00205344 -0.00787167 -0.00763049
171000 0.0452497 7.93693 8.13192 -0.00341954 -0.0033167 0.00491597 0.00475799
172000 0.0457497 8.0148 8.21422 0.00234921 0.00226915 -0.00580623 -0.0056249
173000 0.0462497 8.09873 8.30153 0.000803965 0.00076666 9.27575e-06 2.49368e-06
174000 0.0467497 8.1807 8.38738 -5.51098e-05 -4.85511e-05 0.000428197 0.000423737
175000 0.0472497 8.27197 8.48289 -0.00417887 -0.00403286 0.00812955 0.00786525
176000 0.0477497 8.35727 8.57261 -0.00210944 -0.00201635 0.00276871 0.00269294
177000 0.0482497 8.44345 8.66385 0.00284163 0.00275351 -0.00117628 -0.00112654
178000 0.0487497 8.5135 8.73792 0.000718764 0.000704845 -0.00198261 -0.001906
179000 0.0492497 8.60094 8.82863 0.000511479 0.000505751 0.00318944 0.00308608
180000 0.0497497 8.68217 8.91398 0.000615761 0.000580133 -0.00783937 -0.00757886
181000 0.0502497 8.76599 9.00209 -0.00471498 -0.00455845 -0.000580474 -0.000568955
182000 0.0507497 8.84621 9.0867 0.00403573 0.00389139 -0.000576024 -0.000561901
183000 0.0512497 8.92293 9.16803 -0.00172803 -0.00166307 -0.00532652 -0.00513105
184000 0.0517497 9.00974 9.25916 -0.00836867 -0.00806919 0.00100007 0.000968204
185000 0.0522497 9.08839 9.34163 0.00591294 0.00568655 0.00267681 0.00256447
186000 0.0527497 9.17123 9.42919 0.00393375 0.00379739 0.00079847 0.000774739
187000 0.0532497 9.2502 9.51261 -0.00353226 -0.00341206 0.00671943 0.00645906
188000 0.0537497 9.32789 9.59459 0.00153821 0.00147332 -0.0066668 -0.00642479
189000 0.0542497 9.41063 9.68237 -0.0014966 -0.00145179 -0.00295921 -0.0028598
190000 0.0547497 9.49107 9.76613 -0.000132654 -0.000132327 -0.00299055 -0.00287626
191000 0.0552497 9.57504 9.85426 0.00385598 0.00371913 0.00128709 0.00125127
192000 0.0557497 9.65659 9.94072 0.00205557 0.00198701 0.00155031 0.00150704
193000 0.0562497 9.73731 10.026 -0.00480951 -0.00460704 0.00098656 0.000965054
194000 0.0567497 9.81643 10.1102 -0.00465017 -0.00443882 0.00505642 0.00487999
195000 0.0572497 9.8879 10.1848 0.00597509 0.00573499 0.00262405 0.00251249
196000 0.0577497 9.95948 10.261 -0.00281928 -0.0027081 -0.00365208 -0.00350857
197000 0.0582497 10.048 10.3544 0.0034739 0.00332027 0.0029598 0.00282295
198000 0.0587497 10.126 10.4373 0.000944461 0.000893761 -0.00179209 -0.00172963
199000 0.0592497 10.2132 10.5297 0.0021623 0.00206694 -0.000923618 -0.000891283
